"";"Type";"C1A17";"C1F18";"C1A18";"C2A17";"C2F18";"C2A18";"C3A17";"C3F18";"C3A18";"C4A17";"C4F18";"C4A18";"F1A17";"F1F18";"F1A18";"F2A17";"F2F18";"F2A18";"F3A17";"F3F18";"F3A18";"F4A17";"F4F18";"F4A18";"H1A17";"H1F18";"H1A18";"H2A17";"H2F18";"H2A18";"H3A17";"H3F18";"H3A18";"H4A17";"H4F18";"H4A18";"P1F18";"P1A18";"P2F18";"P3F18";"P4F18";"Q1A17";"Q1F18";"Q2A17";"Q2F18";"Q3A17";"Q3F18";"Q3A18";"Q4A17";"Q4F18";"Q4A18";"L1A17";"L1F18";"L1A18";"L2A17";"L2F18";"L2A18";"L3A17";"L3F18";"L3A18";"L4A17";"L4F18";"L4A18"
"ASV1154";"Other";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;65;0;0;0;67;0;0;0;0;46;0;0;0;0;0;89;0;0;0;0;0;0;0
"ASV1160";"Other";0;8;0;8;11;14;0;0;0;0;6;0;0;1;0;0;0;0;0;26;0;0;25;0;0;19;15;0;0;0;0;0;0;0;29;33;22;0;0;0;45;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"ASV1162";"Other";0;0;0;0;27;0;0;27;0;0;0;0;0;88;0;0;76;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;44;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"ASV1170";"Other";0;0;58;0;0;0;0;0;1;0;0;0;7;0;0;18;9;0;0;9;0;0;7;0;10;33;0;8;14;0;10;16;0;0;19;0;0;0;0;17;0;0;0;10;0;6;0;1;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"ASV1175";"Other";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;51;0;20;36;26;0;36;19;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;25;0;0;0;0;0;45;0;0;0;0;0;0
"ASV1188";"Other";0;0;0;0;0;0;0;0;0;0;0;13;6;0;0;8;0;0;0;0;0;0;0;0;0;0;47;0;0;0;30;0;0;0;0;30;0;0;17;0;0;0;0;0;0;0;0;0;0;0;0;13;0;0;0;21;0;43;0;0;24;0;0
"ASV1189";"Other";60;0;0;0;0;0;0;0;53;0;0;44;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;58;0;0;36
"ASV1191";"Shared";0;32;3;0;54;3;0;0;2;0;11;0;0;0;4;1;0;3;0;16;0;0;12;4;2;0;0;2;0;7;7;0;5;2;0;6;5;0;0;0;0;0;0;0;0;0;0;6;0;6;0;0;0;0;0;43;0;0;0;0;0;14;0
"ASV1195";"Other";0;0;17;0;0;37;0;0;16;0;0;0;0;0;43;0;0;25;0;0;55;0;0;21;0;0;35;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"ASV1198";"Other";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;49;0;0;0;0;0;65;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;16;0;0;0;0;0;0;0;0;0;0;77;41;0;0;0;0;0;0
"ASV1207";"Shared";0;0;0;0;0;0;0;0;2;0;0;9;0;0;0;0;0;12;0;0;0;0;0;17;3;31;9;4;16;7;2;24;18;4;40;14;0;0;0;6;0;0;0;0;0;0;0;12;0;0;0;0;0;0;0;0;0;0;0;0;0;15;0
"ASV1212";"Other";85;0;0;0;0;0;0;0;28;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;57;55;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;18;0;0;0;0;0;0
"ASV1214";"Other";0;0;0;0;0;53;0;0;0;0;0;0;0;0;57;0;0;0;0;0;71;0;0;0;0;0;0;0;0;0;0;0;0;0;0;61;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"ASV1219";"Other";0;0;0;0;0;0;0;0;35;0;25;0;0;40;0;0;0;0;0;141;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"ASV1228";"Other";77;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;0;0;0;41;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20;0;0;0;0;0;0
"ASV1229";"Other";0;48;0;0;0;0;0;20;0;0;36;0;0;0;0;0;0;0;0;78;0;0;56;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"ASV1237";"Other";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;91;0;0;25;0;0;0;0;120;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"ASV1244";"Other";0;0;39;0;0;30;0;0;25;0;0;38;0;0;0;0;0;0;0;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;50;0;0;20;0;19;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"ASV1250";"Other";0;0;0;0;0;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;42;0;0;121;0;0;59;0;0;0;0;0
"ASV1251";"Other";0;0;0;0;0;0;0;0;0;0;0;0;144;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;87;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"ASV1252";"Other";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;45;0;133;33;0;0
"ASV1255";"Other";0;55;0;0;36;0;0;0;0;0;32;0;0;20;0;0;0;0;0;42;0;0;42;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"ASV1256";"Other";0;7;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;4;0;0;9;0;0;21;0;29;0;23;17;28;0;0;15;0;0;0;0;0;0;0;0;0;0;0;0;0;46;0;0;25;0;0
"ASV1257";"Other";0;0;0;0;34;0;0;4;12;0;0;0;7;21;0;0;52;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;6;0;0;0;0;90;0;0;0;0;0;0;0;0;0;0
"ASV1260";"Unique";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;230;0;0;0;0;0;0;0;0
"ASV1265";"Other";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13;0;0;0;0;0;0;0;39;0;0;91;0;0;79;0;0;0;0
"ASV1267";"Other";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;68;0;0;0;71;0;0;21;0;0;0;0;0;0;68;0;0;0;0;0
"ASV1272";"Shared";71;0;0;0;6;0;4;1;11;1;3;15;0;1;0;2;0;0;0;0;0;0;0;0;13;0;0;32;0;0;0;0;0;0;0;0;0;22;0;0;0;1;0;1;0;13;12;0;0;0;0;0;5;0;0;0;2;0;0;0;0;0;10
"ASV1274";"Other";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;0;0;0;0;0;0;0;11;0;0;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0;89;0;0;100;0;0;0;11;0;0;0;0;0;0;0;0
"ASV1276";"Other";0;0;0;0;3;4;7;0;0;0;0;0;0;6;35;26;6;11;0;0;59;0;0;0;31;0;11;14;0;0;0;0;11;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"ASV1281";"Other";0;0;13;0;0;53;0;0;18;0;0;0;0;0;29;0;0;0;0;0;30;0;14;16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;50;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"ASV1283";"Other";0;0;0;0;34;0;0;54;0;0;0;0;0;0;0;0;37;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;48;0;0;0;0;0;0;0;0;22;0;0;0;0;0;0;0;0;0;0;0;0;0;0;28;0
"ASV1284";"Shared";0;0;0;0;0;8;0;0;0;0;0;0;0;11;14;17;0;0;0;0;14;21;0;0;0;0;0;0;0;0;0;0;0;0;0;7;0;5;11;0;7;0;0;0;0;0;0;18;0;0;26;0;0;0;0;42;0;0;15;0;0;7;0
"ASV1285";"Other";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;90;0;0;0;0;0;37;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;31;0;0;17;0;0;29;0;0;0;19;0
"ASV1287";"Other";0;0;0;0;38;0;0;0;0;0;0;0;0;0;0;0;30;0;0;78;0;0;76;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"ASV1293";"Other";0;0;0;0;0;2;0;0;14;0;0;6;0;0;15;9;0;0;0;0;0;0;0;0;18;0;15;14;0;41;8;0;0;12;0;14;0;0;0;0;0;0;0;0;0;0;0;9;0;0;2;0;0;0;0;0;42;0;0;0;0;0;0
"ASV1297";"Other";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;47;0;0;52;0;0;44;0;0;33;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;44;0;0;0;0;0;0
"ASV1302";"Other";0;0;0;0;0;21;0;0;0;0;0;32;0;0;0;0;0;0;0;0;0;0;0;0;84;0;0;51;0;0;30;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"ASV1303";"Other";0;0;0;0;0;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;65;0;0;104;0;0;41;0;0;0;0;0
"ASV1315";"Other";0;0;0;0;0;0;0;0;0;0;26;13;18;0;0;17;0;0;0;0;0;0;0;0;0;0;22;0;0;0;23;0;18;9;39;30;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"ASV1325";"Other";0;0;13;0;0;0;0;0;46;0;0;26;0;0;0;0;0;0;0;27;0;0;22;0;8;0;0;5;0;0;0;0;0;0;0;16;0;0;0;0;0;0;0;0;0;0;0;50;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"ASV1326";"Other";0;0;0;0;13;0;0;0;0;0;0;0;0;0;0;18;0;0;0;26;0;0;0;0;0;0;55;0;0;0;0;0;20;0;33;0;0;0;0;0;0;0;0;25;23;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"ASV1328";"Unique";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;68;0;0;127;0;0;18
"ASV1335";"Shared";0;25;0;0;47;5;0;0;1;0;0;0;0;0;1;2;0;0;0;15;0;10;11;2;0;0;0;4;0;5;4;0;1;6;0;2;7;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;25;0;0;9;0;0;25;0
"ASV1337";"Other";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;37;0;0;45;0;0;50;0;0;45;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;34;0;0;0;0;0;0
"ASV1339";"Other";0;3;0;0;0;0;0;0;0;0;0;29;0;0;13;0;0;0;0;21;0;0;21;59;0;3;0;0;0;0;0;0;17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;44;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"ASV1341";"Unique";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;210;0;0;0;0;0;0;0;0
"ASV1342";"Other";0;0;29;0;0;0;0;0;17;0;0;0;0;0;0;0;0;11;0;0;0;0;0;25;0;0;0;6;11;42;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;20;0;0;43;0;0;0;0;0;0;0;0;0;0;0;0
"ASV1347";"Unique";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;98;0;0;24;0;0;86;0;0;0
"ASV1348";"Unique";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;36;62;0;0;98;0;0;0;0;12
"ASV1349";"Other";0;0;0;0;0;41;0;0;27;0;0;0;0;0;0;0;0;24;0;0;58;0;0;27;0;0;0;0;0;0;0;0;0;0;0;0;0;30;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"ASV1351";"Other";0;0;11;0;0;0;0;0;0;0;0;0;27;0;0;0;0;0;0;0;0;0;0;0;0;19;0;0;0;0;0;125;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;18;0
"ASV1354";"Other";0;0;0;0;0;0;0;0;122;0;0;47;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;36;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"ASV1358";"Other";0;0;0;0;0;0;0;0;0;0;0;30;0;0;20;0;0;25;0;0;0;0;0;0;0;0;0;0;0;0;17;0;32;0;0;80;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"ASV1363";"Other";41;0;0;0;0;0;0;0;46;0;0;46;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;41;0;0;29
"ASV1365";"Other";0;0;0;0;7;0;0;0;79;0;0;0;0;0;0;0;0;0;0;0;0;0;0;42;29;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;32;0;0;0;0;0;0;0;14;0;0;0;0;0;0;0
"ASV1371";"Other";13;0;15;0;0;8;0;1;91;0;2;60;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;0;0;0;0;0;0;0;0;0;0;0;0
"ASV1374";"Other";0;0;0;0;0;0;0;0;0;0;0;0;0;0;25;0;0;0;0;0;17;0;0;23;36;0;0;45;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;55;0;0;0;0;0;0;0;0;0;0;0;0
"ASV1385";"Other";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;0;0;0;22;36;0;17;12;0;18;22;0;34;29;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"ASV1389";"Shared";0;0;0;0;15;0;0;6;12;0;0;0;11;18;0;0;0;0;0;16;0;0;0;0;0;49;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;3;0;0;0;0;62;0;0;0;0;0;0;0;0;0;0
"ASV1392";"Other";0;0;0;0;0;25;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;107;0;0;0;0;0;0;0;0;0;0;0;64;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"ASV1403";"Shared";0;0;14;0;0;0;0;0;9;0;0;3;1;0;0;2;28;26;0;1;0;0;0;0;0;11;0;3;0;0;3;0;6;3;15;0;0;0;0;9;0;0;0;17;0;10;0;6;18;0;0;0;0;0;0;0;0;0;0;0;0;9;0
"ASV1404";"Other";0;0;0;0;0;0;0;0;37;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;157;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"ASV1406";"Unique";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;111;0;0;17;0;0;66;0;0;0
"ASV1411";"Shared";0;16;0;0;0;4;0;0;3;0;0;0;0;0;0;0;0;2;0;0;0;0;0;6;0;0;0;0;38;10;0;45;0;0;0;0;0;8;17;7;15;0;0;0;0;0;0;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9
"ASV1412";"Shared";0;13;0;0;6;0;0;0;0;0;0;0;0;0;0;0;7;15;0;7;0;0;0;17;9;0;0;0;0;0;0;7;24;0;7;0;5;0;10;0;8;0;0;21;0;6;13;0;3;0;0;0;0;0;0;0;0;13;0;0;0;0;0
"ASV1419";"Other";0;0;0;0;0;24;0;20;0;0;19;0;0;0;0;0;0;0;0;0;0;0;0;0;35;0;0;0;43;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20;0;0;0;0;0;0;0;28;0;0;0;0;0;0;0
"ASV1421";"Other";0;0;19;0;0;0;0;4;78;0;5;56;0;0;4;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;17;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0
"ASV1430";"Unique";0;0;0;0;0;0;29;116;0;0;42;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"ASV1436";"Other";52;0;0;0;0;0;0;0;0;0;0;0;35;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;24;0;0;0;0;27;0;0;0;0;0;0;0;0;48;0;0;0;0;0
"ASV1448";"Other";0;0;0;0;0;10;0;0;2;0;0;13;0;0;0;0;0;0;0;0;0;0;0;0;11;0;20;4;0;37;11;0;0;23;0;22;0;0;0;0;0;0;0;0;0;0;0;11;0;0;20;0;0;0;0;0;0;0;0;0;0;0;0
"ASV1453";"Unique";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;103;0;0;28;0;0;52;0;0;0
"ASV1458";"Other";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;41;0;0;39;0;0;0;0;0;0;32;9;0;0;0;0;0;0;0;61;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"ASV1463";"Other";0;0;0;0;0;0;4;0;0;0;27;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;37;0;0;0;20;24;33;0;0;0;36;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"ASV1465";"Other";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;16;0;0;0;28;0;0;15;0;0;0;0;20;46;0;0;0;0;0;30;0;0;0;0;11;0;0;0;0;0;0;0;0;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"ASV1468";"Other";0;8;0;0;0;0;0;0;1;0;0;0;0;47;0;0;0;0;0;0;0;43;8;0;9;0;0;10;7;0;7;16;0;0;9;1;0;0;10;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"ASV1473";"Other";0;0;0;0;10;0;0;0;16;0;0;14;0;0;17;24;0;20;0;0;0;0;0;13;0;0;0;0;0;0;0;0;42;0;0;21;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"ASV1474";"Other";0;0;0;0;0;0;0;23;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;12;0;0;0;102;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;35;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"ASV1475";"Other";0;0;0;0;0;0;0;7;27;0;2;25;1;0;0;0;0;0;0;0;23;0;0;41;22;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;29;0;0;0;0;0;0;0;0;0;0;0;0
"ASV1476";"Other";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;23;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;116;0;0;0;0;0;0;0;0;38
"ASV1477";"Other";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;19;0;0;59;14;0;0;0;33;0;0;0;0;0;0;0;0;0;31;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;21
"ASV1478";"Unique";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;93;0;25;0;0;0;0;59;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"ASV1480";"Other";40;0;0;0;0;17;0;0;20;0;0;0;0;0;11;0;0;0;0;0;0;0;0;33;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;38;0;0;0;0;0;0;0;0;0;17;0;0
"ASV1488";"Other";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;60;0;0;0;0;0;0;0;0;116;0;0;0
"ASV1491";"Other";0;0;0;0;0;0;0;0;0;0;0;25;0;0;0;0;0;0;21;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;58;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;71;0;0;0
"ASV1506";"Shared";0;14;2;0;41;5;0;0;1;0;0;0;0;0;1;2;5;2;0;12;0;0;9;2;3;0;0;0;0;1;1;0;2;2;0;3;4;0;0;0;0;0;0;0;0;0;0;10;0;0;0;0;0;0;0;24;0;0;8;0;0;18;0
"ASV1508";"Other";0;0;0;0;0;0;0;0;12;0;0;15;0;0;0;0;0;0;0;0;0;0;0;7;0;0;6;0;0;3;0;13;5;0;0;11;12;0;21;11;34;0;0;0;0;0;0;18;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0
"ASV1511";"Other";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;48;0;0;48;64;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;0
"ASV1515";"Other";0;0;0;0;0;0;0;0;20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;28;0;0;56;0;0;67;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"ASV1516";"Other";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;30;0;0;0;0;0;32;0;0;18;0;0;0;0;0;0;0;0;0;0;0;69;0;0;22;0;0;0;0;0;0;0;0;0;0;0;0
"ASV1517";"Other";43;0;0;0;0;0;11;0;0;0;0;0;57;0;0;23;0;0;11;0;0;25;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"ASV1519";"Other";31;0;0;0;0;0;0;0;50;0;0;37;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;29;0;0;22
"ASV1522";"Other";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;6;0;0;0;0;0;0;13;0;0;13;0;0;29;0;0;12;0;0;13;4;0;0;0;0;18;0;37;0;0;0;3;0;0;0;0;0;11;0;0;0;0;0;6;0
"ASV1532";"Other";0;0;0;0;0;0;0;0;12;0;0;2;0;0;0;0;0;0;0;0;0;0;0;5;0;0;9;0;0;2;0;8;7;0;0;11;10;0;27;32;20;0;0;0;0;0;0;12;0;0;11;0;0;0;0;0;0;0;0;0;0;0;0
"ASV1533";"Other";0;0;0;0;0;0;0;0;0;0;0;12;4;0;0;17;0;0;13;0;0;0;0;0;0;6;20;0;0;0;30;0;36;3;0;27;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"ASV1534";"Other";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;36;0;0;0;0;0;0;0;0;0;0;28;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;104;0;0;0
"ASV1536";"Other";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;3;0;65;0;0;0;94;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"ASV1538";"Other";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;17;0;0;0;0;0;0;0;0;48;0;0;0;0;0;0;84;0;0;0;0;18
"ASV1539";"Other";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;74;0;0;0;0;0;0;0;0;0;0;0;32;4;0;0;57;0;0;0
